Stock Code,Stock Name,Current Value,Change,Percentage Change,Market Cap,Industry,Day High,Day Low,Month High/Low
524208,Aarti Industries Ltd.,500.60,9.60,1.96,504.15,491.00,,,A  / S&P BSE 500
514274,Aarvee Denims & Exports Ltd.,23.03,-0.22,-0.95,23.35,22.75,,,B  /
531161,Abm Knowledgeware Ltd.,99.95,0.70,0.71,102.97,98.05,,,X  /
500410,Acc Ltd.,2061.00,51.75,2.58,2064.80,2001.90,,,A  / S&P BSE 100
519319,Aashee Infotech Ltd.,1.43,0.06,4.38,1.43,1.31,,,Z  /
532774,Accel Frontline Ltd.,66.91,-1.36,-1.99,66.91,66.91,,,T  /
512038,Aaswa Trading & Exports Ltd.,51.80,1.01,1.99,51.80,51.80,,,XT /
517494,Accel Transmatic Ltd.,21.75,0.01,0.05,22.20,21.20,,,XT /
523204,Aban Offshore Ltd.,48.40,0.36,0.75,49.50,47.40,,,B  /
512165,Abans Enterprises Ltd,175.55,-3.80,-2.12,185.00,172.05,,,X  /
532268,Accelya Kale Solutions Limitd,1601.95,8.25,0.52,1637.80,1586.65,,,B  / S&P BSE SmallCap
500002,Abb India Limited,4324.00,32.90,0.77,4328.75,4246.00,,,A  / S&P BSE 200
500488,Abbott India Ltd.,22383.30,-330.65,-1.46,22900.00,22338.65,,,A  / S&P BSE 200
513119,Abc Gas (international) Ltd.,40.00,0.90,2.30,40.49,38.62,,,XT /
520123,Abc India Ltd.-$,98.00,2.00,2.08,99.30,93.01,,,XT /
531525,Ace Software Exports Ltd.-$,19.00,-0.10,-0.52,19.29,19.00,,,X  /
532057,Abhinav Capital Services Ltd.,136.00,-2.25,-1.63,144.00,131.50,,,XT /
538952,Abhinav Leasing & Finance Ltd,2.03,0.07,3.57,2.05,1.87,,,XT /
538935,Abhishek Finlease Ltd,31.19,-0.64,-2.01,31.19,31.19,,,XT /
511756,Abirami Financial Services (india) Ltd.,21.61,1.02,4.95,21.61,21.61,,,Z  /
517356,Aci Infocom Ltd.,1.29,-0.06,-4.44,1.38,1.29,,,XT /
531161,Abm Knowledgeware Ltd.,99.95,0.70,0.71,102.97,98.05,,,X  /
500410,Acc Ltd.,2061.00,51.75,2.58,2064.80,2001.90,,,A  / S&P BSE 100
532774,Accel Frontline Ltd.,66.91,-1.36,-1.99,66.91,66.91,,,T  /
517494,Accel Transmatic Ltd.,21.75,0.01,0.05,22.20,21.20,,,XT /
530043,Acknit Industries Ltd.,225.00,0.50,0.22,225.50,222.00,,,XT /
532268,Accelya Kale Solutions Limitd,1601.95,8.25,0.52,1637.80,1586.65,,,B  / S&P BSE SmallCap
539391,Acme Resources Ltd,30.46,0.59,1.98,30.46,29.28,,,Z  /
531525,Ace Software Exports Ltd.-$,19.00,-0.10,-0.52,19.29,19.00,,,X  /
513149,Acrow India Ltd.,889.90,-0.10,-0.01,890.00,889.90,,,XT /
517356,Aci Infocom Ltd.,1.29,-0.06,-4.44,1.38,1.29,,,XT /
524091,Acrysil Ltd.,685.00,17.90,2.68,692.00,671.00,,,A  / S&P BSE SmallCap
530043,Acknit Industries Ltd.,225.00,0.50,0.22,225.50,222.00,,,XT /
539391,Acme Resources Ltd,30.46,0.59,1.98,30.46,29.28,,,Z  /
532762,Action Construction Equipment Ltd.,713.35,-46.25,-6.09,763.45,710.00,,,A  / S&P BSE SmallCap
513149,Acrow India Ltd.,889.90,-0.10,-0.01,890.00,889.90,,,XT /
524091,Acrysil Ltd.,685.00,17.90,2.68,692.00,671.00,,,A  / S&P BSE SmallCap
532762,Action Construction Equipment Ltd.,713.35,-46.25,-6.09,763.45,710.00,,,A  / S&P BSE SmallCap
511359,Ad-manum Finance Ltd.,44.40,-0.66,-1.46,47.40,42.20,,,X  /
511359,Ad-manum Finance Ltd.,44.40,-0.66,-1.46,47.40,42.20,,,X  /
512599,Adani Enterprises Ltd.,2478.40,28.30,1.16,2479.90,2450.20,,,A  / S&P BSE 100
